Date,Matched Price,Volume,Open Price,High Price,Low Price,Foreign Buy,Foreign Sell,Foreign Value
3/26/2020,65.2,2556450,63.81,65.89,61.59,4000130,2866990,106.5
3/27/2020,65.27,2755950,65.2,66.1,63.81,2838850,2193950,60.7
3/30/2020,63.26,1559900,65.27,65.27,61.73,1170370,975630,17.8
3/31/2020,63.12,1293290,63.26,64.78,62.43,1088400,1473680,-35.2
4/1/2020,65.2,1155730,63.12,65.2,63.12,629510,581590,4.6
4/3/2020,65.89,1934430,65.2,66.24,65.2,1127340,1228870,-9.6
4/6/2020,66.73,1840550,65.89,67,65.89,325850,965840,-61.6
4/7/2020,68.32,2273090,66.73,68.67,66.45,2141180,1843730,29.3
4/8/2020,68.67,904920,68.32,68.67,66.93,1853230,1781840,7.1
4/9/2020,69.43,1220550,68.67,69.99,68.81,1093660,1100440,-0.7
4/10/2020,69.09,1111470,69.43,69.43,68.04,788790,635980,15.2
4/13/2020,68.74,1127670,69.09,69.22,68.18,772750,842340,-6.9
4/14/2020,68.67,1059560,68.74,69.15,68.46,1350400,1103680,24.5
4/15/2020,68.81,886130,68.67,69.15,68.81,1442310,1575420,-13.3
4/16/2020,68.88,1155660,68.81,69.02,68.6,1205530,1566920,-35.9
4/17/2020,68.88,1767310,68.88,69.43,68.67,1119040,1954500,-82.9
4/20/2020,69.36,1471680,68.88,70.19,69.36,788070,1214120,-42.7
4/21/2020,67.14,2129360,69.36,69.36,66.45,3457600,3387080,6.8
4/22/2020,67.63,1085950,67.14,67.7,66.45,985390,1677120,-67.2
4/23/2020,66.66,1443180,67.63,68.39,66.52,163690,1106140,-91.1
4/24/2020,71.3,3624460,66.66,71.3,67.63,717710,1676470,-97
4/27/2020,71.3,1950560,71.3,73.87,71.3,370080,883610,-53.4
4/28/2020,69.71,1401520,71.3,71.44,69.15,550200,1098500,-55.3
4/29/2020,68.67,1769090,69.71,69.71,68.67,620700,1383110,-75.6
5/4/2020,67.7,1235970,68.67,68.67,67.28,575930,669020,-9
5/5/2020,69.71,1163800,67.7,69.99,67.98,2317400,2078330,23.6
5/6/2020,70.4,1105020,69.71,70.4,69.15,1905800,1887630,1.8
5/7/2020,71.72,1583260,70.4,72,70.4,2655150,2263630,40
5/8/2020,72.83,3184170,71.72,74.63,72.14,1784420,1278573,53.6
5/11/2020,75.26,1792200,72.83,75.26,72.62,1047590,208350,89.7
