Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-05-10 00:00:00-04:00,0.06867927335305207,0.07039613999323852,0.06867927335305207,0.0695377066731453,136080000,0.0,0.0
1985-05-13 00:00:00-04:00,0.06953765363984991,0.06996687283806344,0.06867922097444534,0.06867922097444534,87225600,0.0,0.0
1985-05-14 00:00:00-04:00,0.06867925026362673,0.06910846964488657,0.06782081723213196,0.06782081723213196,121744000,0.0,0.0
1985-05-15 00:00:00-04:00,0.06867922097444534,0.06996687283806344,0.06867922097444534,0.06867922097444534,130435200,0.0,0.0
1985-05-16 00:00:00-04:00,0.0734005942940712,0.07554667872150395,0.0734005942940712,0.0734005942940712,230540800,0.0,0.0
1985-05-17 00:00:00-04:00,0.07340061113929981,0.07597590960462935,0.07297139759392332,0.07468826323747635,211859200,0.0,0.0
1985-05-20 00:00:00-04:00,0.07468824609673529,0.07640511134627259,0.0734005942940712,0.0734005942940712,197187200,0.0,0.0
1985-05-21 00:00:00-04:00,0.07297142515322182,0.07297142515322182,0.07125455886125565,0.07125455886125565,152544000,0.0,0.0
1985-05-22 00:00:00-04:00,0.07125455202997681,0.0716837714273313,0.07082533836364746,0.07082533836364746,120556800,0.0,0.0
1985-05-23 00:00:00-04:00,0.07039611632661626,0.07039611632661626,0.06782081723213196,0.06782081723213196,239164800,0.0,0.0
1985-05-24 00:00:00-04:00,0.06782080107949869,0.06782080107949869,0.06224021688103676,0.06224021688103676,589478400,0.0,0.0
1985-05-28 00:00:00-04:00,0.061381766290749463,0.061381766290749463,0.0579480417072773,0.0579480417072773,510966400,0.0,0.0
1985-05-29 00:00:00-04:00,0.05880649760365486,0.05923571119764599,0.05880649760365486,0.05880649760365486,246556800,0.0,0.0
1985-05-30 00:00:00-04:00,0.060523346066474915,0.06138177882032632,0.060523346066474915,0.060523346066474915,314921600,0.0,0.0
1985-05-31 00:00:00-04:00,0.06052335078749855,0.061811002884228354,0.05966492369771004,0.05966492369771004,369420800,0.0,0.0
1985-06-03 00:00:00-04:00,0.058377270415746356,0.058377270415746356,0.05494353920221329,0.05494353920221329,576016000,0.0,0.0
1985-06-04 00:00:00-04:00,0.05923572182655334,0.05966494122858524,0.05923572182655334,0.059235721826553345,401923200,0.0,0.0
1985-06-05 00:00:00-04:00,0.05923568770970162,0.06095255286694866,0.0579480417072773,0.0579480417072773,286406400,0.0,0.0
1985-06-06 00:00:00-04:00,0.05837726965546608,0.05837726965546608,0.05837726965546608,0.05837726965546608,271196800,0.0,0.0
1985-06-07 00:00:00-04:00,0.058377245390383255,0.058377245390383255,0.056231167167425156,0.056231167167425156,475238400,0.0,0.0
1985-06-10 00:00:00-04:00,0.05623120387140765,0.05666041750375295,0.05537277087569237,0.05537277087569237,316131200,0.0,0.0
1985-06-11 00:00:00-04:00,0.05537277087569237,0.05666041750375295,0.05537277087569237,0.05537277087569237,300720000,0.0,0.0
1985-06-12 00:00:00-04:00,0.05537275389653488,0.05580196739726881,0.054085101932287216,0.054085101932287216,247990400,0.0,0.0
1985-06-13 00:00:00-04:00,0.05408511436951964,0.05451433369997835,0.051079828292131424,0.051079828292131424,379523200,0.0,0.0
1985-06-14 00:00:00-04:00,0.05107981006492725,0.05408509506991634,0.050650596618652344,0.050650596618652344,565667200,0.0,0.0
1985-06-17 00:00:00-04:00,0.051079828292131424,0.051509047622590134,0.051079828292131424,0.051079828292131424,236342400,0.0,0.0
1985-06-18 00:00:00-04:00,0.052367474883794785,0.05322590772076408,0.052367474883794785,0.052367474883794785,265216000,0.0,0.0
1985-06-19 00:00:00-04:00,0.05365514755249024,0.05451435449846497,0.05365514755249024,0.053655147552490234,171987200,0.0,0.0
1985-06-20 00:00:00-04:00,0.054085101932287216,0.054085101932287216,0.054085101932287216,0.054085101932287216,190803200,0.0,0.0
1985-06-21 00:00:00-04:00,0.05537277087569237,0.05666041750375295,0.05537277087569237,0.05537277087569237,166140800,0.0,0.0
1985-06-24 00:00:00-04:00,0.05923572182655334,0.06009415489959194,0.05923572182655334,0.059235721826553345,205766400,0.0,0.0
1985-06-25 00:00:00-04:00,0.060094140470027924,0.06138178690488871,0.060094140470027924,0.060094140470027924,293910400,0.0,0.0
1985-06-26 00:00:00-04:00,0.06224021688103676,0.06224021688103676,0.06224021688103676,0.06224021688103676,132204800,0.0,0.0
1985-06-27 00:00:00-04:00,0.06309865415096283,0.06352787346021914,0.06309865415096283,0.06309865415096283,192460800,0.0,0.0
1985-06-28 00:00:00-04:00,0.06309866923397887,0.06352788864583518,0.06181102246046066,0.06181102246046066,135744000,0.0,0.0
1985-07-01 00:00:00-04:00,0.06224021688103676,0.06266943616007101,0.06224021688103676,0.06224021688103676,103443200,0.0,0.0
1985-07-02 00:00:00-04:00,0.06224023471667582,0.06266945411870772,0.05923572182655334,0.059235721826553345,77728000,0.0,0.0
1985-07-03 00:00:00-04:00,0.060094140470027924,0.060094140470027924,0.060094140470027924,0.060094140470027924,68499200,0.0,0.0
1985-07-05 00:00:00-04:00,0.060523346066474915,0.06095256530891216,0.060523346066474915,0.060523346066474915,36579200,0.0,0.0
1985-07-08 00:00:00-04:00,0.060523346066474915,0.06095256530891216,0.060523346066474915,0.060523346066474915,92220800,0.0,0.0
1985-07-09 00:00:00-04:00,0.060523346066474915,0.06095256530891216,0.060523346066474915,0.060523346066474915,147907200,0.0,0.0
1985-07-10 00:00:00-04:00,0.06181102246046066,0.06181102246046066,0.06181102246046066,0.06181102246046066,106041600,0.0,0.0
1985-07-11 00:00:00-04:00,0.06181102246046066,0.06224023614129162,0.06181102246046066,0.06181102246046066,64892800,0.0,0.0
1985-07-12 00:00:00-04:00,0.06181100261041741,0.06181100261041741,0.061381783336400986,0.061381783336400986,47040000,0.0,0.0
1985-07-15 00:00:00-04:00,0.061381768829767154,0.06266942061647628,0.06095255538821221,0.060952555388212204,77683200,0.0,0.0
1985-07-16 00:00:00-04:00,0.06095257333694306,0.06138178690488871,0.060094140470027924,0.060094140470027924,143360000,0.0,0.0
1985-07-17 00:00:00-04:00,0.060523346066474915,0.06138177882032632,0.060523346066474915,0.060523346066474915,118182400,0.0,0.0
1985-07-18 00:00:00-04:00,0.06052336857059863,0.06052336857059863,0.05923572182655334,0.059235721826553345,179065600,0.0,0.0
1985-07-19 00:00:00-04:00,0.05966492369771004,0.05966492369771004,0.05966492369771004,0.05966492369771004,114912000,0.0,0.0
1985-07-22 00:00:00-04:00,0.05966490686452434,0.05966490686452434,0.0579480417072773,0.0579480417072773,192304000,0.0,0.0
1985-07-23 00:00:00-04:00,0.05794806982561384,0.058806502820777685,0.05666041746735573,0.05666041746735573,168694400,0.0,0.0
1985-07-24 00:00:00-04:00,0.05666038664864286,0.057518819176888156,0.05580195412039757,0.05580195412039757,168716800,0.0,0.0
1985-07-25 00:00:00-04:00,0.05708962678909302,0.05751884034566926,0.05708962678909302,0.05708962678909302,315078400,0.0,0.0
1985-07-26 00:00:00-04:00,0.05708962678909302,0.05751884034566926,0.05708962678909302,0.05708962678909302,130524800,0.0,0.0
1985-07-29 00:00:00-04:00,0.05708962407618316,0.05708962407618316,0.05494353920221329,0.05494353920221329,77750400,0.0,0.0
1985-07-30 00:00:00-04:00,0.05580195412039757,0.056231173250031,0.05580195412039757,0.05580195412039757,89465600,0.0,0.0
1985-07-31 00:00:00-04:00,0.05580197250630284,0.056231191777357525,0.0545143261551857,0.0545143261551857,80505600,0.0,0.0
1985-08-01 00:00:00-04:00,0.0545143261551857,0.05537275896627161,0.0545143261551857,0.0545143261551857,51564800,0.0,0.0
1985-08-02 00:00:00-04:00,0.05451432116404408,0.05451432116404408,0.054085101932287216,0.054085101932287216,97417600,0.0,0.0
1985-08-05 00:00:00-04:00,0.054085138526209366,0.054514358048375504,0.05279671773314476,0.05279671773314476,92332800,0.0,0.0
1985-08-06 00:00:00-04:00,0.052796688436767616,0.054085108514900254,0.052367474883794785,0.052367474883794785,63078400,0.0,0.0
1985-08-07 00:00:00-04:00,0.0523674805524833,0.05494354729941281,0.051079828292131424,0.051079828292131424,151737600,0.0,0.0
1985-08-08 00:00:00-04:00,0.05193828418850899,0.05236750370876341,0.05193828418850899,0.05193828418850899,147772800,0.0,0.0
1985-08-09 00:00:00-04:00,0.052367474883794785,0.052367474883794785,0.052367474883794785,0.052367474883794785,60950400,0.0,0.0
1985-08-12 00:00:00-04:00,0.05236747416433457,0.05236747416433457,0.05150904133915901,0.05150904133915901,54992000,0.0,0.0
1985-08-13 00:00:00-04:00,0.052367474883794785,0.05322590772076408,0.052367474883794785,0.052367474883794785,42380800,0.0,0.0
1985-08-14 00:00:00-04:00,0.05236749156491489,0.05236749156491489,0.05022140592336655,0.05022140592336655,289900800,0.0,0.0
1985-08-15 00:00:00-04:00,0.05022141032897588,0.05065062978734846,0.04979219660162926,0.04979219660162926,105190400,0.0,0.0
