Date,Matched Price,Volume,Open Price,High Price,Low Price,Foreign Buy,Foreign Sell,Foreign Value
2020-09-30,93.29,1432380,93.54,95.43,92.94,57010,545200,-53.3
2020-10-01,93.63,1702500,93.29,93.71,92.43,766290,1196280,-46.7
2020-10-02,92.51,2864220,93.63,94.31,91.40,538800,1187200,-70.4
2020-10-05,91.92,1427600,92.51,93.37,91.66,54260,814736,-81.8
2020-10-06,91.66,2044710,91.92,92.51,91.23,97670,1083380,-105.5
2020-10-07,92.51,2153700,91.66,92.51,91.23,387960,1325200,-100.5
2020-10-08,91.57,1325810,92.51,92.51,91.49,565160,950390,-41.2
2020-10-09,91.40,980970,91.57,91.74,91.32,236840,498220,-27.9
2020-10-12,91.66,1209250,91.40,92.34,91.32,565160,950390,-35.8
2020-10-13,91.74,858550,91.66,92.51,91.57,956190,929670,2.8
2020-10-14,92.00,1299160,91.74,92.26,91.49,925590,939860,-1.5
2020-10-15,92.09,1854560,92.00,92.43,91.66,1411110,1142890,28.8
2020-10-16,92.00,1637740,92.09,92.51,91.57,744170,514460,24.7
2020-10-19,92.26,1617740,92.00,92.77,92.00,754730,628910,13.6
2020-10-20,90.97,2150990,92.26,92.26,90.80,126750,599620,-50.4
2020-10-21,91.14,805550,90.97,91.57,90.80,198170,247280,-5.2
2020-10-22,91.40,2422540,91.14,91.49,90.03,222590,1352360,-119.7
2020-10-23,94.23,2946790,91.40,94.23,91.74,344740,251590,10.0
2020-10-26,94.66,2313520,94.23,96.37,94.23,387650,38340,39.1
2020-10-27,93.89,1721090,94.66,95.08,93.46,488280,118600,40.7
2020-10-28,92.00,2609180,93.89,93.89,91.23,519310,675390,-16.9
2020-10-29,91.57,1723240,92.00,92.00,90.46,504730,717830,-22.7
2020-10-30,92.51,2683620,91.57,92.51,90.20,649430,1427840,-82.2
2020-11-02,92.17,867340,92.51,92.51,91.66,847400,902460,-5.9
2020-11-03,92.26,870230,92.17,92.51,91.66,494780,750910,-27.6
2020-11-04,92.51,1342780,92.26,93.71,92.00,614420,359440,27.6
2020-11-05,93.20,1891270,92.51,93.71,92.51,830920,49820,85.2
2020-11-06,93.20,1011020,93.20,93.71,92.51,654180,326910,35.6
2020-11-09,93.20,1066640,93.20,93.71,92.94,294440,236240,6.4
2020-11-10,92.09,2297200,93.20,93.54,92.09,117750,1244311,-121.9
2020-11-11,92.09,2429710,92.09,92.43,90.80,404470,1157600,-80.3
2020-11-12,91.66,1074590,92.09,92.09,91.40,114650,743067,-67.2
2020-11-13,92.00,1089500,91.66,92.00,91.66,632110,1037660,-43.5
2020-11-16,91.74,2571160,92.00,93.11,91.66,958370,705690,27.3
2020-11-17,92.17,1648330,91.74,92.26,91.66,741640,862130,-12.9
2020-11-18,93.71,3396750,92.17,93.80,92.34,1092730,161400,101.3
2020-11-19,93.97,3140680,93.71,93.97,93.37,1575290,686150,97.3
2020-11-20,95.00,2801420,93.97,95.51,93.46,1043630,512040,58.4
2020-11-23,94.74,2104330,95.00,95.34,94.06,988620,615210,41.2
2020-11-24,93.89,1937130,94.74,95.00,93.37,431070,349170,9.1
2020-11-25,94.66,2190900,93.89,95.08,93.46,502030,289780,23.4
2020-11-26,94.14,1490270,94.66,95.00,93.63,404430,453910,-5.4
2020-11-27,94.06,2823860,94.14,94.14,93.11,751510,1545930,-86.6
2020-11-30,92.69,2687040,94.06,94.23,92.51,1191190,1230790,-4.3
2020-12-01,93.97,2493230,92.69,94.06,91.83,1367320,467100,98.1
2020-12-02,93.37,1332460,93.97,94.06,93.11,292620,82860,23.0
2020-12-03,93.80,1108730,93.37,94.14,93.20,885300,516030,40.4
